,dam_code,geometry
564,630,POINT (139.7012439425119 36.90946399568731)
565,609,POINT (139.8057112863275 36.64227890834786)
566,538,POINT (140.6439362459911 36.79672015210052)
567,539,POINT (140.6760181705782 36.85041336017776)
568,540,POINT (140.6483982920218 36.72508971176278)
569,541,POINT (140.6616551219925 36.67011747682102)
570,542,POINT (140.4674804845626 36.6841839400957)
571,553,POINT (140.3587549988157 36.43545646894194)
572,554,POINT (140.3587549988157 36.43545646894194)
573,555,POINT (140.2845522927518 36.55624403803552)
574,551,POINT (140.395220770773 36.42114652959616)
575,549,POINT (140.2799164643226 36.42434144815197)
576,557,POINT (140.3179146356862 36.37042841082769)
577,558,POINT (140.3594931345247 36.39826167083064)
578,602,POINT (140.7039943115111 35.83795166795183)
579,576,POINT (140.0705639541978 36.24055450024679)
